Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
"Galileo FOC FM12 (0212, Galileo 16)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM13 (0213, Galileo 17)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM14 (0214, Galileo 18)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM15 (0215, Galileo 19)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM16 (0216, Galileo 20)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM17 (0217, Galileo 21)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM18 (0218, Galileo 22)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM19 (0219, Galileo 23)",ESA,Commercial,"OHB-System GmbH, SSTL",Navigation/Global Positioning,MEO
"Galileo FOC FM2 (0202, Galileo 6, PRN E14)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,Elliptical
"Galileo FOC FM20 (0220, Galileo 24)",ESA,Commercial,"OHB-System GmbH, SSTL",Navigation/Global Positioning,MEO
"Galileo FOC FM21 (0221, Galileo 25)",ESA,Commercial,"OHB-System GmbH, SSTL",Navigation/Global Positioning,MEO
"Galileo FOC FM22 (0222, Galileo 26)",ESA,Commercial,"OHB-System GmbH, SSTL",Navigation/Global Positioning,MEO
"Galileo FOC FM23 (0223, Galileo 27)",ESA,Commercial,"OHB-System GmbH, SSTL",Navigation/Global Positioning,MEO
"Galileo FOC FM24 (0224, Galileo 28)",ESA,Commercial,"OHB-System GmbH, SSTL",Navigation/Global Positioning,MEO
"Galileo FOC FM3 (0203, Galileo 7, PRN E26)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM4 (0204, Galileo 8, PRN E22)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM5 (0205, Galileo 9, PRN E24)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM6 (0206, Galileo 10, PRN E30)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM7 (0207, Galileo 15)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM8 (0208, Galileo 11, PRN E08)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo FOC FM9 (0209, Galileo 12, E09)",ESA,Commercial,"OHB-System GmbH, SSTL ",Navigation/Global Positioning,MEO
"Galileo IOV-1 FM2 (0102, PRN E12)",ESA,Commercial,Astrium/Thales Alenia Space,Navigation/Global Positioning,MEO
"Galileo IOV-1 PFM (0101, PRN E11)",ESA,Commercial,Astrium/Thales Alenia Space,Navigation/Global Positioning,MEO
"Galileo IOV-2 FM3 (0103, PRN E19)",ESA,Commercial,EADS Astrium,Navigation/Global Positioning,MEO
"Galileo IOV-2 FM4 (0104, PRN E20)",ESA,Commercial,EADS Astrium,Navigation/Global Positioning,MEO
GAMA Alpha,France,Commercial,Gama,Technology Development,LEO
Gaofen 1,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 1-02,China,Government,China Spacesat,Earth Observation,LEO
Gaofen 1-03,China,Government,China Spacesat,Earth Observation,LEO
Gaofen 1-04,China,Government,China Spacesat,Earth Observation,LEO
Gaofen 1-05,China,Government,China Spacesat,Earth Observation,LEO
Gaofen 1-06,China,Government,China Spacesat,Earth Observation,LEO
Gaofen 10,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 11,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,Elliptical
Gaofen 11-02,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,Elliptical
Gaofen 11-03,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,Elliptical
Gaofen 12,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 12-02,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 12-03 ,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 13,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,GEO
Gaofen 13-02,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,GEO
Gaofen 14,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 2,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 3 ,China,Government,China Academy of Space Technology (CAST),Earth Observation,LEO
Gaofen 3-02,China,Government,China Academy of Space Technology (CAST),Earth Observation,LEO
Gaofen 3-03,China,Government,China Academy of Space Technology (CAST),Earth Observation,LEO
