Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
1HOPSAT-TD (1st-generation High Optical Performance Satellite),USA,Commercial,Hera Systems,Earth Observation,LEO
AAC AIS-Sat1 (Kelpie 1),United Kingdom,Commercial,AAC Clyde Space,Earth Observation,LEO
Aalto-1 ,Finland,Civil,Aalto University,Technology Development,LEO
AAt-4,Denmark,Civil,University of Aalborg,Earth Observation,LEO
"ABS-2 (Koreasat-8, ST-3)",Multinational,Commercial,Space Systems/Loral,Communications,GEO
ABS-2A,Multinational,Commercial,Boeing Satellite Systems,Communications,GEO
ABS-3A ,Multinational,Commercial,Boeing Satellite Systems,Communications,GEO
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Multinational,Commercial,Space Systems/Loral,Communications,GEO
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Multinational,Commercial,Lockheed Martin,Communications,GEO
Adelis-Sampson 1,Israel,Government,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Technology Development,LEO
Adelis-Sampson 2,Israel,Government,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Technology Development,LEO
Adelis-Sampson 3,Israel,Government,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Technology Development,LEO
ADLER-2,Austria,Civil,Spire Global,Earth Science,LEO
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",USA,Military,National Reconnaissance Laboratory (?),Earth Observation,GEO
"Advanced Orion 4 (Mentor, NROL 6, USA 139)",USA,Military,TRW Space and Electronics,Earth Observation,GEO
"Advanced Orion 5 (Mentor, NROL 19, USA 171)",USA,Military,TRW Space and Electronics,Earth Observation,GEO
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",USA,Military,National Reconnaissance Laboratory (?),Earth Observation,GEO
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",USA,Military,National Reconnaissance Laboratory (?),Earth Observation,GEO
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",USA,Military,National Reconnaissance Laboratory (?),Earth Observation,GEO
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",USA,Military,National Reconnaissance Laboratory (?),Earth Observation,GEO
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA,Military,Lockheed Martin Space Systems,Communications,GEO
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA,Military,Lockheed Martin Space Systems,Communications,GEO
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 29USA 2)",USA,Military,Lockheed Martin Space Systems,Communications,GEO
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA,Military,Lockheed Martin Space Systems,Communications,GEO
"AEHF-USA 2 (Advanced Extremely High Frequency satellite-USA 2, USA 235)",USA,Military,Lockheed Martin Space Systems,Communications,GEO
Aeneas,USA,Government,University of Southern California,Technology Development,LEO
Aeolus,ESA,Government,Airbus Defense and Space,Earth Observation,LEO
Aerocube 11A (TOMSat Eagle Scout),USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 11B (TOMSat R3),USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 12A,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 12B,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 14A,USA,Military,Aerospace Corporation,Technology Development,LEO
Aerocube 14B,USA,Military,Aerospace Corporation,Technology Development,LEO
Aerocube 15A,USA,Military,Aerospace Corporation,Technology Development,LEO
Aerocube 5C,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 6A,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 6B,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 7A,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 8C,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 8D,USA,Commercial,Aerospace Corporation,Technology Development,LEO
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Multinational,Commercial,EADS Astrium,Communications,GEO
AII-Bravo,Lithuania,Commercial,NanoAvionics,Communications,LEO
AII-Charlie,Lithuania,Commercial,NanoAvionics,Communications,LEO
AIM (Aeronomy of Ice in Mesosphere),USA,Government,Orbital Sciences Corp.,Earth Observation,LEO
AISSat-1 (Automatic Identification System Satellite-1),Norway,Government,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Communications,LEO
AISSat-2 (Automatic Identification System Satellite-2),Norway,Government,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Communications,LEO
AISTechSat-2,Spain,Commercial,GomSpace ApS,Earth Observation,LEO
AISTechSat-3,Spain,Commercial,GomSpace ApS,Earth Observation,LEO
Al Yah-3,United Arab Emirates,Commercial,Orbital ATK,Communications,GEO
Al-Farabi-2,Kazakhstan,Civil,Al-Farabi Kazakh National University,Technology Development,LEO
Alcomsat (Algerian Communications Satellite),Algeria,Government,China Academy of Space Technology (CAST),Communications,GEO
ALE-2 (Astro Live Experiences-2),Japan,Commercial,Astro Live Experiences,Earth Science,LEO
Alfa Crux,Brazil,Civil,University of Brasilia,Technology Development,LEO
ALiCE  (AFIT LEO iMESA CNT E),USA,Military,US Air Force Institute of Technology,Technology Development,LEO
Alsat-1B,Algeria,Government,Surrey Satellite Technology Ltd.,Earth Observation,LEO
Alsat-1N,Algeria,Government,Surrey Satellite Technology Ltd.,Technology Development,LEO
Alsat-2A (Algeria Satellite 2A),Algeria,Government,EADS Astrium,Earth Observation,LEO
Alsat-2B,Algeria,Government,Airbus Defense and Space,Earth Observation,LEO
Amazonas-2,Spain,Commercial,EADS Astrium,Communications,GEO
Amazonas-3,Spain,Commercial,Space Systems/Loral,Communications,GEO
Amazonas-4A,Spain,Commercial,Orbital Sciences Corp.,Communications,GEO
Amazonas-5,Spain,Commercial,Space Systems/Loral,Communications,GEO
Amazonas-Nexus,Spain,Commercial,Thales Alenia Space,Communications,GEO
Amazonia-1 (SSR-1),Brazil,Government,National Institute for Space Research (INPE),Earth Observation,LEO
"AMC-11 (Americom-11, GE 11)",USA,Commercial,Lockheed Martin,Communications,GEO
AMC-15 (Americom-15),USA,Commercial,Lockheed Martin,Communications,GEO
AMC-18 (Americom 18),USA,Commercial,Lockheed Martin Missiles & Space,Communications,GEO
AMC-21 (Americom 21),USA,Commercial,Orbital Sciences Corp.,Communications,GEO
"AMC-6 (Americom-6, GE-6)",USA,Commercial,Lockheed Martin Commercial Space Systems,Communications,GEO
AmGU-1 (AmurSat-1),Russia,Civil,Moscow State University,Space Science,LEO
Amos 17,Israel,Military/Commercial,Boeing Satellite Systems,Communications,GEO
Amos 3,Israel,Military/Commercial,Israel Aircraft Industries (IAI),Communications,GEO
Amos 4,Israel,Military/Commercial,Israel Aircraft Industries (IAI),Communications,GEO
Amsat-Oscar 7 (AO-7),USA,Civil,Amsat-NA,Communications,LEO
"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",South Korea,Military,Airbus Defense and Space,Communications,GEO
ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),USA,Civil,Boston University,Space Science/Technology Demonstration,LEO
ANGELS (Argos Neo on a Generic Economical and Light Satellite),ESA,Government,CNES ,Communications,LEO
Angosat-2,Angola,Government,ISS Reshetnev,Communications,LEO
Anik F1 ,Canada,Commercial,Boeing Satellite Systems,Communications,GEO
Anik F1R,Canada,Commercial,EADS Astrium,Communications,GEO
Anik F2 ,Canada,Commercial,Boeing Satellite Systems,Communications,GEO
Anik F3,Canada,Commercial,EADS Astrium,Communications,GEO
Anik G1,Canada,Commercial,Space Systems/Loral,Communications,GEO
AprizeSat 1 (LatinSat-C),Argentina,Commercial,Aprize Satellite ,Communications/Technology Development,LEO
AprizeSat 10 (exactView-13),USA/Argentina,Commercial,SpaceQuest,Communications/Maritime Tracking,LEO
AprizeSat 2 (LatinSat-D),USA/Argentina,Commercial,Aprize Satellite ,Communications/Technology Development,LEO
AprizeSat 3 ,USA/Argentina,Commercial,SpaceQuest,Communications/Maritime Tracking,LEO
AprizeSat 4 ,USA/Argentina,Commercial,SpaceQuest,Communications/Maritime Tracking,LEO
AprizeSat 5,Canada,Commercial,SpaceQuest,Communications,LEO
AprizeSat 7,Canada,Commercial,SpaceQuest,Communications,LEO
AprizeSat 8 (exactView-12),USA/Argentina,Commercial,SpaceQuest,Communications/Maritime Tracking,LEO
AprizeSat 9 (exactView-11),USA,Commercial,SpaceQuest,Communications/Maritime Tracking,LEO
Apstar 6C,China,Commercial,China Academy of Space Technology (CAST),Communications,GEO
Apstar 6D,China,Commercial,China Academy of Space Technology (CAST),Communications,GEO
Apstar 6E,China,Commercial,China Academy of Space Technology (CAST),Communications,GEO
Apstar 7,China,Commercial,Thales Alenia Space,Communications,GEO
Apstar 9,China,Commercial,China Academy of Space Technology (CAST),Communications,GEO
Arabsat 5C,Multinational,Government,Astrium/Thales Alenia Space,Communications,GEO
Arabsat 6A,Multinational,Commercial,Lockheed Martin,Communications,GEO
ARCE 1A (Articulated Reconnaissance and Communications Expedition-1),USA,Civil,"South Florida University, Institute of Applied Engineering (IAE)",Technology Development,LEO
ARCE 1B (Articulated Reconnaissance and Communications Expedition-1),USA,Civil,"South Florida University, Institute of Applied Engineering (IAE)",Technology Development,LEO
ARCE 1C (Articulated Reconnaissance and Communications Expedition-1),USA,Civil,"South Florida University, Institute of Applied Engineering (IAE)",Technology Development,LEO
ARCSAT ,Norway,Military,Norwegian Defence Research Establishment,Technology Demonstration,LEO
ARICA,Japan,Civil,Aoyama Gakuin University in Tokyo,Technology Development,LEO
Arktika-M1,Russia,Government,NPO Lavochkin,Earth Observation,Elliptical
Arkyd-6A,USA,Commercial,Planetary Resources,Technology Development,LEO
ArSat 1,Argentina,Commercial,INVAP S.E.,Communications,GEO
ArSat 2,Argentina,Commercial,INVAP S.E.,Communications,GEO
Arthur,Belgium,Commercial,Astrospacelab,Earth Observation,LEO
ASELSAT,Turkey,Civil,Istanbul Technical University,Earth Observation,LEO
AsiaSat-5,China,Commercial,Space Systems/Loral,Communications,GEO
AsiaSat-6 (Thaicom-7),China,Commercial,Space Systems/Loral,Communications,GEO
AsiaSat-7,China,Commercial,Space Systems/Loral,Communications,GEO
AsiaSat-8,China,Commercial,Space Systems/Loral,Communications,GEO
AsiaSat-9,China,Commercial,Space Systems/Loral,Communications,GEO
AsiaStar ,USA,Commercial,Alcatel Space Industries,Communications,GEO
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,Government,NEC Corporation,Earth Observation,LEO
ASNARO 2 (Advanced Satellite with New system Architecture for Observation),Japan,Government,NEC Corporation,Earth Observation,LEO
ASTERISC (Asutarisuku),Japan,Civil,Chiba Institute of Technology,Technology Development,LEO
Astra 1G ,Luxembourg,Commercial,Hughes Space and Communications Co.,Communications,GEO
Astra 1KR,Luxembourg,Commercial,Lockheed Martin Commercial Space Systems,Communications,GEO
Astra 1L,Luxembourg,Commercial,Lockheed Martin Commercial Space Systems,Communications,GEO
Astra 1M,Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astra 1N,Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astra 2A ,Luxembourg,Commercial,Hughes Space and Communications Co.,Communications,GEO
Astra 2C ,Luxembourg,Commercial,Boeing Satellite Systems,Communications,GEO
Astra 2D,Luxembourg,Commercial,Hughes Space and Communications Co.,Communications,GEO
Astra 2E (Eutelsat 28E),Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astra 2F (Eutelsat 28F),Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astra 2G (Eutelsat 28G),Luxembourg,Commercial,Airbus Defense and Space,Communications,GEO
Astra 3A ,Luxembourg,Commercial,Boeing Satellite Systems,Communications,GEO
Astra 3B,Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astra 5B,Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astranis Demosat-2,USA,Commercial,Astranis,Technology Development,LEO
Astrocast-0101,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0102 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0103 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0104 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0105 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0201 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0202   ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0203,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0204 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0205 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrosat,India,Government,Indian Space Research Organization (ISRO),Space Science,LEO
AT&T T16,USA,Commercial,Airbus Defense and Space,Communications,GEO
Athena,USA,Commercial,Maxar Technologies,Communications,LEO
Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),France/Italy,Government/Military,Thales Alenia Space,Communications,GEO
Athenoxat-1 (Athene Noctua Experimental Satellite) ,Singapore,Commercial,Microspace Rapid Pvt Ltd.,Technology Development,LEO
Azerspace 1/Africasat-1a,Azerbaijan,Government,Orbital Sciences Corp.,Communications,GEO
Azerspace 2/Intelsat-38,Azerbaijan,Government,Space Systems/Loral,Communications,GEO
Badr 4 (Arabsat 4B),Multinational,Government,EADS Astrium,Communications,GEO
Badr 5 (Arabsat 5B),Multinational,Government,EADS Astrium,Communications,GEO
Badr 5A (Arabsat 5A),Multinational,Government,EADS Astrium,Communications,GEO
Badr 6 (Arabsat 4AR),Multinational,Government,EADS Astrium,Communications,GEO
Badr 7 (Arabsat 6B),Multinational,Government,Airbus Defense and Space,Communications,GEO
Bangabandhu 1 ,Bangladesh,Government,Thales Alenia Space,Communications,GEO
Baoyun,China,Civil,Unknown,Unknown,LEO
BARS-M (Cosmos 2503),Russia,Military,Progress Rocket and Space Center,Earth Observation,LEO
BARS-M (Cosmos 2515),Russia,Military,Progress Rocket and Space Center,Earth Observation,LEO
BARS-M3 (Cosmos 2556),Russia,Military,Progress Rocket and Space Center,Earth Observation,LEO
BARS-M4 (Cosmos 2567),Russia,Military,Progress Rocket and Space Center,Earth Observation,LEO
BB-1,USA,Military,Leidos,Technology Demonstration,LEO
BB-2,USA,Military,Leidos,Technology Demonstration,LEO
BDSAT (CZE-BDSAT),Czech Republic,Government,Central European Institute of Technology,Technology Demonstration,LEO
BDSAT-2,Czech Republic,Civil,Central European Institute of Technology/,Communications,LEO
Beesat-5 (Berlin Experimental and Educational Satellite-5),Germany,Civil,Technical University Berlin,Technology Demonstration,LEO
Beesat-6 (Berlin Experimental and Educational Satellite-6),Germany,Civil,Technical University Berlin,Technology Demonstration,LEO
Beesat-7 (Berlin Experimental and Educational Satellite-7),Germany,Civil,Technical University Berlin,Technology Demonstration,LEO
Beesat-8 (Berlin Experimental and Educational Satellite-8),Germany,Civil,Technical University Berlin,Technology Demonstration,LEO
"Beesat-9 (Berlin Experimental and Educational Satellite-9, Tubsat-17)",Germany,Civil,Technical University Berlin,Technology Development,LEO
Beidou 2-12 (Compass M3),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou 2-13 (Compass M4),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou 2-15 (Compass M6),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou 2-16 (Compass G-6),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou 2-17 (IGSO-6),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou 2-18 (Compass G-7),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou 3I-1S,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou 3I-2S,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou 3M-1S,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou 3M-2S,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou 3M1 ,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou 3M1 (Beidou 23),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou 3M1 (Beidou 24),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou 3M1 (Beidou 25),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 26,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 27,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 28,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 29,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 30,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 31,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 32,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou DW 33,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 34,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 35,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 36,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 37,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 38,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 39,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 40,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 41,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou DW 42,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 43,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 44,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou DW 45,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou DW 46,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou DW 49 ,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou DW 50,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 51,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 52,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 53,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,MEO
Beidou DW 55,China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou G3 (Compass G-3),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou G4 (Compass G-4),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou G5 (Compass G-11),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou IGSO-1 (Compass G-5),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou IGSO-2 (Compass G-7),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou IGSO-3 (Compass G-8),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou IGSO-4 (Compass G-9),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beidou IGSO-5 (Compass G-10),China,Military/Government,Space Technology Research Institute (part of CASC),Navigation/Global Positioning,GEO
Beijing-3,China ,Commercial,Chinese Academy of Space Technology (CAST),Earth Observation,LEO
"BeijingGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",China,Commercial,Tsinghua University/University of Surrey,Earth Observation,LEO
Beiyou-1,China,Commercial,Changsha Tianyi,Earth Observation,LEO
Belintersat-1,Belarus,Government,China Academy of Space Technology/Thales Alenia Space,Communications,GEO
Bird 2 (Bispectral InfraRed Detector 2),Germany,Government/Civil,Deutsches Zentrum für Luft- und Raumfahrt,Earth Observation/Technology Development,LEO
Birkeland (MilSpace 2-1),Norway,Military,"Norwegian Defence Research Establishment (FFI)/Netherlands NLR, TNO)",Earth Observation,LEO
BIROS (Bispectral Infrared Optical System),Germany,Government,German Aerospace Center (DLR),Earth Observation,LEO
BisonSat (Nwist Qwiqway),USA,Civil,Salish Kootenai College,Earth Observation/Technology Development,LEO
BKA 2 (BelKA 2),Belarus,Government,NPO VNIIEM,Earth Observation,LEO
BlackSky Global 1,USA,Commercial,Spaceflight Industries,Earth Observation,LEO
BlackSky Global 14,USA,Commercial,LeoStella,Earth Observation,LEO
BlackSky Global 15,USA,Commercial,LeoStella,Earth Observation,LEO
BlackSky Global 16,USA,Commercial,LeoStella,Earth Observation,LEO
BlackSky Global 17,USA,Commercial,LeoStella,Earth Observation,LEO
BlackSky Global 18,USA,Commercial,LeoStella,Earth Observation,LEO
BlackSky Global 19,USA,Commercial,LeoStella,Earth Observation,LEO
BlackSky Global 2,USA,Commercial,Spaceflight Industries,Earth Observation,LEO
BlackSky Global 20,USA,Commercial,LeoStella,Earth Observation,LEO
BlackSky Global 3,USA,Commercial,Spaceflight Industries,Earth Observation,LEO
BlackSky Global 4,USA,Commercial,Spaceflight Industries,Earth Observation,LEO
BlackSky Global 5,USA,Commercial,LeoStella,Earth Observation,LEO
BlackSky Global 7,USA,Commercial,LeoStella,Earth Observation,LEO
BlackSky Global 8,USA,Commercial,LeoStella,Earth Observation,LEO
BlackSky Global 9,USA,Commercial,LeoStella,Earth Observation,LEO
BlackSky Pathfinder 1,USA,Commercial,Spaceflight Industries,Earth Observation,LEO
Blagovest-11L (Cosmos 2520),Russia,Military/Commercial,ISS Reshetnev,Communications,GEO
Blagovest-12L (Cosmos 2526),Russia,Military/Commercial,ISS Reshetnev,Communications,GEO
Blagovest-13L (Cosmos 2533),Russia,Military/Commercial,ISS Reshetnev,Communications,GEO
Blagovest-14L (Cosmos 2539),Russia,Military/Commercial,ISS Reshetnev,Communications,GEO
Bluewalker 1,Lithuania,Commercial,NanoAvionics,Technology Development,LEO
Bluewalker 3,USA,Commercial,ASTSpaceMobile,Communications,LEO
Brazilsat B-4 (Brasilsat B-4),Brazil,Commercial,Boeing Satellite Systems,Communications,GEO
Brik-II,Netherlands,Government,Solutions in Space,Earth Observation,LEO
BRIO ,USA,Commercial,SpaceQuest,Technology Development,LEO
BRISat,Indonesia,Commercial,Space Systems/Loral,Communications,GEO
BRITE-CA-1 (BRITE Toronto),Canada,Civil,"University of Toronto, Institute for Aerospace Studies",Space Science,LEO
"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)",Multinational,Government,"Space Research Center, Polish Academy of Sciences",Space Science,LEO
BRO-1,France,Commercial,GomSpace ApS,Earth Observation,LEO
BRO-2,France,Commercial,Gom Space ApS,Earth Observation,LEO
BRO-3,France,Commercial,Gom Space ApS,Earth Observation,LEO
BRO-4,France,Commercial,GomSpace ApS,Earth Observation,LEO
BRO-6,France,Commercial,GomSpace ApS,Earth Observation,LEO
BRO-7,France,Commercial,GomSpace ApS,Earth Observation,LEO
BRO-8,France,Commercial,Gom Space ApS,Earth Observation,LEO
BRO-9,France,Commercial,Gom Space ApS,Earth Observation,LEO
Brokkr-1 (OrbAstro-AF-1)  ,United Kingdom,Commercial,OrbAstro,Technology Development,LEO
BSAT-3A,Japan,Commercial,Lockheed Martin Commercial Space Systems,Communications,GEO
BSAT-3B,Japan,Commercial,Lockheed Martin Commercial Space Systems,Communications,GEO
BSAT-3C/JCSat 110-R,Japan,Commercial,Lockheed Martin Commercial Space Systems,Communications,GEO
BSAT-4A,Japan,Commercial,Space Systems/Loral,Communications,GEO
BSAT-4B,Japan,Commercial,Maxar Technologies,Communications,GEO
Buccaneer RMM,Australia,Military/Civil,Defence Science and Technology Group/University of New South Wales,Technology Development,LEO
Bufeng-1A,China,Government,China Academy of Space Technology (CAST),Earth Observation,LEO
Bufeng-1B,China,Government,China Academy of Space Technology (CAST),Earth Observation,LEO
Bugsat-1 (Tita),Argentina,Commercial,Satellogic,Technology Development,LEO
BulgariaSat-1,Bulgaria,Commercial,Space Systems/Loral,Communications,GEO
CACTUS-1 (Coordinated Applied Capitol Technology University Satellite 1),USA,Government/Civil,USA,Technology Development,LEO
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),France,Government,Alcatel Alenia Space,Earth Science,LEO
CanX-2 (Canadian Advanced Nanospace experiment),Canada,Government/Civil,University of Toronto Institute for Aerospace Studies,Technology Development,LEO
CanX-4,Canada,Government/Civil,University of Toronto Institute for Aerospace Studies,Technology Development,LEO
CanX-5,Canada,Government/Civil,University of Toronto Institute for Aerospace Studies,Technology Development,LEO
CanX-7,Canada,Government/Civil,University of Toronto Institute for Aerospace Studies,Technology Development,LEO
CAPE-3 (Cajun Advanced Picosatellite Experiment-3),USA,Civil,University of Louisiana at Lafayette,Technology Development,LEO
Capella-10 (Whitney 8),USA,Commercial,Capella Space,Earth Observation,LEO
Capella-6 (Whitney 4),USA,Commercial,Capella Space,Earth Observation,LEO
Capella-7 (Whitney 5),USA,Commercial,Capella Space,Earth Observation,LEO
Capella-8 (Whitney 6),USA,Commercial,Capella Space,Earth Observation,LEO
Capella-9 (Whitney 7),USA,Commercial,Capella Space,Earth Observation,LEO
CartoSat 1 (IRS P5),India,Government,Indian Space Research Organization (ISRO),Earth Observation,LEO
"CartoSat 2 (IRS P7, CartoSat 2AT)",India,Government,Indian Space Research Organization (ISRO),Earth Observation,LEO
CartoSat 2A,India,Military,Indian Space Research Organization (ISRO),Earth Observation,LEO
CartoSat 2B,India,Government,Indian Space Research Organization (ISRO),Earth Observation,LEO
CartoSat 2C,India,Government,Indian Space Research Organization (ISRO),Earth Observation,LEO
CartoSat 2D,India,Government,Indian Space Research Organization (ISRO),Earth Observation,LEO
CartoSat 2E,India,Government,Indian Space Research Organization (ISRO),Earth Observation,LEO
CartoSat 2F,India,Government,Indian Space Research Organization (ISRO),Earth Observation,LEO
CartoSat 3,India,Government,Indian Space Research Organization (ISRO),Earth Observation,LEO
CAS500-1,South Korea,Government,Korea Aerospace Research Institute (KARI),Earth Observation,LEO
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),Canada,Government,Canadian Space Agency,Earth Science,LEO
"CBAS-1 (USA 283, Continuous Broadcast Augmenting SATCOM-1)",USA,Military,Unknown,Communications,GEO
"CBAS-2 (USA 342, Continuous Broadcast Augmenting SATCOM-2, USSF 67)",USA,Military,Unknown,Communications,GEO
CBERS 4 (China-Brazil Earth Resources Satellite 4),China/Brazil,Government,China Academy of Space Technology (CAST),Earth Observation,LEO
CBERS 4A (China-Brazil Earth Resources Satellite 4A),China/Brazil,Government,China Academy of Space Technology (CAST),Earth Observation ,LEO
CBNT-1 (Carbonite 1),United Kingdom,Commercial,Surrey Satellite Technology Ltd.,Technology Development,LEO
